,state_full,count_chicken,mean_chicken,std_chicken,skew_chicken,count_ribs,mean_ribs,std_ribs,skew_ribs,count_pork,mean_pork,std_pork,skew_pork,count_brisket,mean_brisket,std_brisket,skew_brisket,count_overall,mean_overall,std_overall,skew_overall
al,Alabama,1428,166.72596638655259,7.4642835125296125,-0.8177139828020545,1430,164.88199972027775,8.14451096017814,-0.7687082120248899,1342,165.80537764530342,6.738571035595517,-0.5624560096660602,1326,164.51616470588075,9.499626082429955,-0.9196992068003048,1344,658.9026306547604,36.65748008412984,-4.623625694607249
ar,Arkansas,1282,166.7282318252715,8.501250437359511,-1.1566963908907368,1309,164.63868540870718,9.514591459550406,-1.2792405663583564,1289,165.1908822342888,8.706361029883452,-0.9224463657570232,1264,163.59064050632776,10.713258271924325,-0.9598951611164104,1317,644.8430876233855,79.00290561821667,-4.028765364001269
az,Arizona,526,165.95170950570306,7.612855357683753,-0.7773036935558477,525,163.62200228571413,8.267869727957015,-0.5663977034923166,525,164.61630247619036,7.835449344652063,-0.9703969889474057,523,162.22245583173995,9.434534787432163,-0.5629131555531913,528,652.8696477272723,39.49847263573295,-4.88472540960634
ca,California,3624,163.5323385209731,10.021002808638901,-1.0215140654193555,3647,161.41280954209114,10.553416538659913,-0.9999810435485353,3597,162.00857592438308,10.062395279130577,-0.9210301237391045,3580,159.91877329609136,12.023418700753378,-0.9855821988771903,3617,642.6866702792388,49.90989023287329,-3.748526721913248
co,Colorado,1450,164.20329296551554,8.717232556911773,-1.0119394888232618,1453,161.40973379215257,10.136238182191136,-1.0083125455233581,1454,162.6863686382376,9.27758420718365,-0.8138711684003713,1450,160.04037020689492,10.82886657270064,-0.7294750277788323,1458,645.860842524006,42.088093900622546,-4.261387434523485
ct,Connecticut,436,161.18356330275228,9.235738605985905,-0.5003957072670366,441,158.50755736961457,10.733810390960315,-1.0523046488366288,398,160.69301105527632,9.304206102124434,-0.675377667879991,397,157.67632141057936,10.961912779387504,-0.5831723677114923,400,636.6109029999998,42.22084196957874,-3.5369720606343957
de,Delaware,486,159.17003950617277,9.393702817785385,-0.48700123421380315,491,156.94856130346224,10.22018465046905,-0.5520069890827803,491,157.4250248472506,9.325731170868037,-0.5584363440269443,489,155.3828482617588,11.97716684545621,-0.5671329487072018,493,624.2115269776873,44.09484578514952,-3.0995867755535915
fl,Florida,910,164.54465846153755,8.45758531686994,-1.1230903839682644,907,162.70197662623988,9.247673581033851,-1.067959175973631,908,163.413271365638,9.175516792894422,-1.2446467452452457,910,161.37945846153798,10.917903260318953,-0.9479675288304914,916,647.1939842794766,47.235945125327405,-4.467003883157908
ga,Georgia,3451,167.21400115908727,7.367519307594545,-0.9111021854524892,3432,165.28100314685483,7.9464652770602,-1.018066905376927,3447,165.62696106759753,7.1512581367097,-0.7947412855490649,3439,164.6127521954078,9.29855929387225,-0.9550961942405076,3461,659.6578780699211,37.207876506152346,-5.0482628532307725
ia,Iowa,1401,165.17869664525205,8.194641194289044,-1.0022201248184488,1406,163.0536423897565,8.906301283789611,-1.0025517308113987,1378,164.2431094339608,8.208770554369005,-0.8472207803938749,1376,162.7331694767426,9.996524431011485,-0.8169388036131005,1402,646.5858273894436,63.66250647059974,-4.923670676290697
